"sigVMT24.ENTREZID","sigVMT24.SYMBOL","sigVMT24.logFC","sigVMT24.AveExpr","sigVMT24.t","sigVMT24.P.Value","sigVMT24.adj.P.Val","sigVMT24.B"
"64799","IQCH",-0.914099457132231,0.483069052305568,-3.66510263096056,0.000506481306585648,0.0111110322771842,-0.442325140963327
"125476","INO80C",-0.397168040539437,4.37277793447653,-3.66344242300379,0.000509196258400586,0.0111532194452782,-0.908397688499078
"3012","H2AC8",-1.57680191807616,2.14998925161853,-3.66104771195202,0.000513136819985659,0.0112220791501211,-0.57225766821735
"79048","SECISBP2",-0.419665970968349,4.42715593691353,-3.65704375473185,0.000519790507704218,0.0113499682333429,-0.914657379982486
"91687","CENPL",0.73538005445141,1.80729471869556,3.65611818866669,0.000521340262855441,0.0113661861641734,-0.60616598752342
"9644","SH3PXD2A",0.658051251639755,7.36222833746357,3.65116466805802,0.000529709569278575,0.0114940517410742,-1.05336034683521
"84706","GPT2",0.710649790328006,5.40843472029005,3.65116045865574,0.00052971673554118,0.0114940517410742,-1.0244992090242
"64837","KLC2",-0.438815662276927,5.73469584797091,-3.6506715125212,0.000530549767364004,0.0114940517410742,-1.06888480403139
"25802","LMOD1",1.27347592207535,6.12515965153952,3.65023875653818,0.000531288108566048,0.0114940517410742,-1.07553793987665
"7754","ZNF204P",1.15983158269926,1.7563520931268,3.64984853335907,0.000531954723113983,0.0114940517410742,-0.627561197643514
"64061","TSPYL2",-0.727847469296528,5.10362974625018,-3.64976250088182,0.000532101798862565,0.0114940517410742,-1.02112287839937
"9918","NCAPD2",0.849943513318151,5.16256108892654,3.64803753521918,0.000535058889425988,0.0115402287881709,-1.04265534783718
"79690","GAL3ST4",-2.31885294503083,3.09155908612926,-3.64630540969758,0.000538044020306557,0.0115868684740024,-0.79167932571902
"8736","MYOM1",1.27475764108111,9.6648540869233,3.64423645988479,0.000541630447614198,0.011645601179376,-0.921066006680854
"26164","MTG2",-0.413670681920812,4.71317674748289,-3.64342022390758,0.000543051615590743,0.011645601179376,-1.03270658148626
"64393","ZMAT3",-0.570936242672636,7.70110854983866,-3.64329698907776,0.000543266491404196,0.011645601179376,-1.04580842659043
"79596","OBI1",0.673918800752388,3.71554629234045,3.64283154614499,0.000544078782734266,0.011645601179376,-0.907498521935607
"55266","TMEM19",0.458436531330383,5.7272557527742,3.64223808805907,0.000545116165973048,0.011650100275515,-1.10337379234279
"55585","UBE2Q1",-0.28426046244583,6.40853027494511,-3.64120733049243,0.000546922446460777,0.0116709935393236,-1.11022899417676
"1495","CTNNA1",0.505573750825853,9.54740592633697,3.64025498208109,0.000548596395192651,0.011682164159297,-0.957173149452546
"55746","NUP133",0.271516587071122,6.06481196863316,3.63993627447084,0.000549157679648044,0.011682164159297,-1.11677959358555
"23658","LSM5",0.614060945024361,3.62765798387772,3.63923362794482,0.000550397063995709,0.011682164159297,-0.894963727174864
"340390","WDR97",-1.15628010016152,-0.0979361097079474,-3.63902601718698,0.000550763774621784,0.011682164159297,-0.453716198055822
"84875","PARP10",-1.12830730100648,2.68360416466157,-3.63655028912555,0.000555154735644614,0.011757592927547,-0.708691831915405
"79723","SUV39H2",0.847879739196529,2.90468954330416,3.63510347233083,0.000557736245388257,0.0117945304505228,-0.773306191295261
"2135","EXTL2",0.697783150707078,5.16613106192282,3.63247783414118,0.000562450343871121,0.0118763877707359,-1.10666262385866
"9254","CACNA2D2",1.17851552843701,4.50312648171542,3.62826731679891,0.000570089329487224,0.012019667839069,-0.968544312066954
"22929","SEPHS1",0.3923272114086,5.37154362081074,3.6266593177828,0.000573032673967808,0.0120636654411997,-1.13010389466768
"10867","TSPAN9",0.724513325390652,8.51275129474132,3.62291072666923,0.000579950579897866,0.0121910805481814,-1.06947331929884
