"","x"
"1062","9265"
"1063","7485"
"1064","147837"
"1065","5277"
"1066","90522"
"1067","126074"
"1068","643246"
"1069","7029"
"1070","8412"
"1071","1129"
"1072","286336"
"1073","7050"
"1074","51131"
"1075","101928370"
"1076","8517"
"1077","124045"
"1078","7473"
"1079","440416"
"1080","440145"
"1081","51692"
"1082","29890"
"1083","113802"
"1084","3742"
"1085","84206"
"1086","1969"
"1087","54664"
"1088","26610"
"1089","387521"
"1090","8744"
"1091","729375"
"1092","9674"
"1093","65981"
"1094","90407"
"1095","10497"
"1096","105371414"
"1097","84552"
"1098","79731"
"1099","51274"
"1100","9488"
"1101","388796"
"1102","8831"
"1103","4043"
"1104","55644"
"1105","119032"
"1106","571"
"1107","7375"
"1108","2040"
"1109","26353"
"1110","653190"
"1111","23376"
"1112","432"
"1113","10360"
"1114","782"
"1115","6867"
"1116","65265"
"1117","130535"
"1118","55972"
"1119","90580"
"1120","9665"
"1121","126823"
"1122","4909"
"1123","10129"
"1124","5688"
"1125","100505678"
"1126","9742"
"1127","1431"
"1128","27315"
"1129","6523"
"1130","10904"
"1131","101927027"
"1132","29988"
"1133","112840"
"1134","5586"
"1135","100128398"
"1136","4254"
"1137","136"
"1138","6596"
"1139","57595"
"1140","386617"
"1141","7109"
"1142","135932"
"1143","79017"
"1144","114821"
"1145","11057"
"1146","79642"
"1147","125488"
"1148","83957"
"1149","9482"
"1150","55715"
"1151","84894"
"1152","105369669"
"1153","11132"
"1154","5612"
"1155","5213"
"1156","55521"
"1157","55869"
"1158","6457"
"1159","269"
"1160","5064"
"1161","339416"
"1162","6556"
"1163","2618"
"1164","147808"
"1165","1958"
"1166","60496"
"1167","84640"
"1168","147339"
"1169","84895"
"1170","84440"
"1171","92126"
"1172","119559"
"1173","57446"
"1174","4487"
"1175","22858"
"1176","112483"
"1177","91875"
"1178","79970"
"1179","5828"
"1180","144811"
"1181","253959"
"1182","148398"
"1183","4170"
"1184","100137047"
"1185","64218"
"1186","117247"
"1187","56675"
"1188","83480"
"1189","51506"
"1190","29984"
"1191","5298"
"1192","255512"
"1193","59307"
"1194","54475"
"1195","54795"
"1196","10283"
"1197","54505"
"1198","169834"
"1199","79644"
"1200","478"
"1201","338692"
"1202","541471"
"1203","7528"
"1204","51176"
