"","SampleID","sDrug","Conc","Mean","indv"
"161","ind3b","DNR",0.01,0.958425379649717,"3"
"162","ind3b","DNR",0.05,1.1276973811502,"3"
"163","ind3b","DNR",0.1,0.820273301758576,"3"
"164","ind3b","DNR",0.5,0.503818645076179,"3"
"165","ind3b","DNR",1,0.564419742574013,"3"
"166","ind3b","MTX",0.01,1.02783216043177,"3"
"167","ind3b","MTX",0.05,1.06401016355007,"3"
"168","ind3b","MTX",0.1,0.903586853318512,"3"
"169","ind3b","MTX",0.5,1.03594893815153,"3"
"170","ind3b","MTX",1,0.615465304258758,"3"
"171","ind3b","TRZ",0.01,1.07103770922624,"3"
"172","ind3b","TRZ",0.05,1.02016776117364,"3"
"173","ind3b","TRZ",0.1,0.854907716178037,"3"
"174","ind3b","TRZ",0.5,1.32941229726584,"3"
