"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"356",400798,"ENSG00000213057","C1orf220"
"357",400793,"ENSG00000239887","C1orf226"
"358",79078,"ENSG00000164008","C1orf50"
"359",388722,"ENSG00000203724","C1orf53"
"360",79630,"ENSG00000118292","C1orf54"
"361",389941,"ENSG00000165985","C1QL3"
"362",388581,"ENSG00000184163","C1QTNF12"
"363",114905,"ENSG00000163145","C1QTNF7"
"364",54980,"ENSG00000115998","C2orf42"
"365",401027,"ENSG00000187944","C2orf66"
"366",205327,"ENSG00000178074","C2orf69"
"367",257407,"ENSG00000204128","C2orf72"
"368",339804,"ENSG00000237651","C2orf74"
"369",388963,"ENSG00000284308","C2orf81"
"370",84281,"ENSG00000187699","C2orf88"
"371",57415,"ENSG00000114405","C3orf14"
"372",51161,"ENSG00000088543","C3orf18"
"373",285315,"ENSG00000174928","C3orf33"
"374",720,"ENSG00000227746","C4A"
"375",110384692,"ENSG00000227746","C4A"
"376",721,"ENSG00000224639","C4B"
"377",725,"ENSG00000123843","C4BPB"
"378",55286,"ENSG00000154274","C4orf19"
"379",401152,"ENSG00000164096","C4orf3"
"380",132321,"ENSG00000151470","C4orf33"
"381",56951,"ENSG00000113583","C5orf15"
"382",389336,"ENSG00000178776","C5orf46"
"383",133491,"ENSG00000185056","C5orf47"
"384",401207,"ENSG00000164241","C5orf63"
"385",387263,"ENSG00000185127","C6orf120"
"386",647024,"ENSG00000188112","C6orf132"
"387",135398,"ENSG00000197261","C6orf141"
"388",206412,"ENSG00000203872","C6orf163"
"389",441150,"ENSG00000221821","C6orf226"
"390",81688,"ENSG00000112308","C6orf62"
"391",221477,"ENSG00000198663","C6orf89"
"392",730,"ENSG00000112936","C7"
"393",84310,"ENSG00000146540","C7orf50"
"394",65265,"ENSG00000182307","C8orf33"
"395",157773,"ENSG00000164743","C8orf48"
"396",541565,"ENSG00000241852","C8orf58"
"397",414919,"ENSG00000213563","C8orf82"
"398",100127983,"ENSG00000253250","C8orf88"
"399",84688,"ENSG00000164972","C9orf24"
"400",55071,"ENSG00000135045","C9orf40"
"401",257169,"ENSG00000157653","C9orf43"
"402",84267,"ENSG00000165118","C9orf64"
"403",203228,"ENSG00000147894","C9orf72"
"404",51759,"ENSG00000136819","C9orf78"
"405",760,"ENSG00000104267","CA2"
"406",79886,"ENSG00000120159","CAAP1"
"407",11094,"ENSG00000280479","CACFD1"
"408",55799,"ENSG00000157445","CACNA2D3"
"409",790,"ENSG00000084774","CAD"
"410",253559,"ENSG00000175161","CADM2"
"411",8618,"ENSG00000163618","CADPS"
"412",93664,"ENSG00000081803","CADPS2"
"413",793,"ENSG00000104327","CALB1"
"414",800,"ENSG00000122786","CALD1"
"415",805,"ENSG00000143933","CALM2"
"416",163688,"ENSG00000169885","CALML6"
"417",813,"ENSG00000128595","CALU"
"418",57118,"ENSG00000183049","CAMK1D"
"419",815,"ENSG00000070808","CAMK2A"
"420",55450,"ENSG00000162545","CAMK2N1"
"421",79823,"ENSG00000143919","CAMKMT"
"422",819,"ENSG00000164615","CAMLG"
"423",23271,"ENSG00000118200","CAMSAP2"
"424",821,"ENSG00000283777","CANX"
"425",10486,"ENSG00000112186","CAP2"
"426",822,"ENSG00000042493","CAPG"
"427",11132,"ENSG00000142330","CAPN10"
"428",11131,"ENSG00000137225","CAPN11"
"429",824,"ENSG00000162909","CAPN2"
"430",10753,"ENSG00000135773","CAPN9"
"431",829,"ENSG00000116489","CAPZA1"
"432",84270,"ENSG00000165233","CARD19"
"433",84674,"ENSG00000132357","CARD6"
"434",64170,"ENSG00000187796","CARD9"
"435",55604,"ENSG00000079691","CARMIL1"
"436",64921,"ENSG00000127995","CASD1"
"437",843,"ENSG00000003400","CASP10"
"438",836,"ENSG00000164305","CASP3"
"439",839,"ENSG00000138794","CASP6"
"440",841,"ENSG00000064012","CASP8"
"441",9994,"ENSG00000288475","CASP8AP2"
"442",842,"ENSG00000132906","CASP9"
"443",845,"ENSG00000118729","CASQ2"
"444",858,"ENSG00000105971","CAV2"
"445",859,"ENSG00000182533","CAV3"
"446",79872,"ENSG00000105879","CBLL1"
"447",84869,"ENSG00000145439","CBR4"
"448",200014,"ENSG00000154222","CC2D1B"
"449",57805,"ENSG00000158941","CCAR2"
"450",203260,"ENSG00000159884","CCDC107"
"451",84317,"ENSG00000136710","CCDC115"
"452",151903,"ENSG00000160799","CCDC12"
"453",202243,"ENSG00000277868","CCDC125"
"454",133957,"ENSG00000164366","CCDC127"
"455",152206,"ENSG00000244607","CCDC13"
"456",100874114,"ENSG00000173811","CCDC13-AS1"
"457",64753,"ENSG00000128596","CCDC136"
"458",64770,"ENSG00000175455","CCDC14"
"459",57639,"ENSG00000135205","CCDC146"
"460",100129792,"ENSG00000198865","CCDC152"
"461",126661,"ENSG00000280670","CCDC163"
"462",154467,"ENSG00000198937","CCDC167"
"463",149483,"ENSG00000159588","CCDC17"
"464",203238,"ENSG00000164989","CCDC171"
"465",51244,"ENSG00000154781","CCDC174"
"466",100499483,"ENSG00000197816","CCDC180"
"467",57821,"ENSG00000117477","CCDC181"
"468",339512,"ENSG00000185860","CCDC190"
"469",728586,"ENSG00000230561","CCDC192"
"470",25901,"ENSG00000024862","CCDC28A"
"471",83643,"ENSG00000151468","CCDC3"
"472",339829,"ENSG00000284862","CCDC39"
"473",152137,"ENSG00000152492","CCDC50"
"474",84692,"ENSG00000138483","CCDC54"
"475",285331,"ENSG00000180376","CCDC66"
"476",26112,"ENSG00000198624","CCDC69"
"477",79741,"ENSG00000216937","CCDC7"
"478",90557,"ENSG00000163040","CCDC74A"
"479",91409,"ENSG00000152076","CCDC74B"
"480",151887,"ENSG00000091986","CCDC80"
"481",54520,"ENSG00000125633","CCDC93"
"482",54535,"ENSG00000206355","CCHCR1"
"483",6369,"ENSG00000106178","CCL24"
"484",83605,"ENSG00000136280","CCM2"
"485",892,"ENSG00000112237","CCNC"
"486",9134,"ENSG00000175305","CCNE2"
"487",900,"ENSG00000113328","CCNG1"
"488",645121,"ENSG00000205089","CCNI2"
"489",79616,"ENSG00000135083","CCNJL"
"490",10309,"ENSG00000152669","CCNO"
"491",905,"ENSG00000082258","CCNT2"
"492",219771,"ENSG00000108100","CCNY"
"493",1230,"ENSG00000163823","CCR1"
"494",401145,"ENSG00000184305","CCSER1"
"495",908,"ENSG00000146731","CCT6A"
"496",51622,"ENSG00000122674","CCZ1"
"497",221960,"ENSG00000146574","CCZ1B"
"498",9398,"ENSG00000134256","CD101"
"499",135228,"ENSG00000156535","CD109"
"500",912,"ENSG00000158473","CD1D"
"501",50489,"ENSG00000116031","CD207"
"502",51744,"ENSG00000122223","CD244"
