"","x"
"1174","81619"
"1175","10718"
"1176","92211"
"1177","54462"
"1178","2894"
"1179","23063"
"1180","79812"
"1181","6623"
"1182","2746"
"1183","54537"
"1184","728118"
"1185","728190"
"1186","728130"
"1187","9562"
"1188","84896"
"1189","142913"
"1190","55328"
"1191","57559"
"1192","59"
"1193","3988"
"1194","24138"
"1195","27063"
"1196","84333"
"1197","143279"
"1198","5507"
"1199","143282"
"1200","54708"
"1201","3087"
"1202","54536"
"1203","26509"
"1204","118924"
"1205","266971"
"1206","64318"
"1207","9124"
"1208","10580"
"1209","26123"
"1210","54619"
"1211","9849"
"1212","56889"
"1213","118788"
"1214","728658"
"1215","84458"
"1216","26148"
"1217","23401"
"1218","23223"
"1219","5223"
"1220","51013"
"1221","26287"
"1222","112817"
"1223","118812"
"1224","83742"
"1225","27291"
"1226","84795"
"1227","26507"
"1228","2805"
"1229","81894"
"1230","57089"
"1231","1355"
"1232","23268"
"1233","1147"
"1234","25956"
"1235","4714"
"1236","55719"
"1237","84545"
"1238","56652"
"1239","81855"
"1240","81621"
"1241","8945"
"1242","27343"
"1243","25911"
"1244","10724"
"1245","79591"
"1246","79803"
"1247","23082"
"1248","9221"
"1249","8729"
"1250","4791"
"1251","5662"
"1252","79176"
"1253","79004"
"1254","100505761"
"1255","79847"
"1256","10121"
"1257","51684"
"1258","403"
"1259","118980"
"1260","54838"
"1261","57412"
"1262","22978"
"1263","729020"
"1264","6877"
"1265","84833"
"1266","51063"
"1267","9644"
"1268","79991"
"1269","9748"
"1270","119392"
"1271","9446"
"1272","159686"
"1273","114815"
"1274","7511"
"1275","4601"
"1276","10285"
"1277","644511"
"1278","64429"
"1279","143187"
"1280","6934"
"1281","3026"
"1282","4892"
"1283","840"
"1284","374354"
"1285","153"
"1286","55088"
"1287","3983"
"1288","26033"
"1289","2674"
"1290","57698"
"1291","118987"
"1292","63877"
"1293","8661"
"1294","10935"
"1295","2869"
"1296","6001"
"1297","7073"
"1298","22876"
"1299","79892"
"1300","11196"
"1301","196051"
"1302","55717"
"1303","11101"
"1304","5654"
"1305","80007"
"1306","118672"
"1307","64376"
"1308","36"
"1309","9184"
"1310","119587"
"1311","4942"
"1312","64077"
"1313","9679"
"1314","23172"
"1315","54764"
"1316","1488"
"1317","7390"
"1318","56647"
"1319","55760"
"1320","92565"
"1321","8038"
"1322","1793"
"1323","5791"
"1324","4255"
"1325","387723"
"1326","119437"
"1327","10539"
"1328","55844"
"1329","664"
"1330","282973"
"1331","282974"
"1332","170394"
"1333","3632"
"1334","85442"
"1335","10844"
"1336","118472"
"1337","50632"
"1338","282969"
"1339","1892"
"1340","92170"
"1341","503542"
"1342","100133161"
"1343","23410"
"1344","80162"
"1345","10410"
"1346","81490"
"1347","6050"
"1348","8045"
"1349","100506211"
"1350","57661"
"1351","3665"
