"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"118",25978,"ENSG00000083937","CHMP2B"
"119",26001,"ENSG00000108523","RNF167"
"120",26010,"ENSG00000196141","SPATS2L"
"121",26097,"ENSG00000160679","CHTOP"
"122",26127,"ENSG00000111790","FGFR1OP2"
"123",26994,"ENSG00000123091","RNF11"
"124",27229,"ENSG00000137822","TUBGCP4"
"125",27430,"ENSG00000038274","MAT2B"
"126",2775,"ENSG00000087258","GNAO1"
"127",282809,"ENSG00000139323","POC1B"
"128",283104,"ENSG00000246273","SBF2-AS1"
"129",284900,"ENSG00000235954","TTC28-AS1"
"130",285172,"ENSG00000155744","HYCC2"
"131",2898,"ENSG00000164418","GRIK2"
"132",29066,"ENSG00000122299","ZC3H7A"
"133",29097,"ENSG00000143771","CNIH4"
"134",2926,"ENSG00000132463","GRSF1"
"135",2958,"ENSG00000140307","GTF2A2"
"136",29906,"ENSG00000101638","ST8SIA5"
"137",29944,"ENSG00000183837","PNMA3"
"138",3066,"ENSG00000196591","HDAC2"
"139",30832,"ENSG00000177932","ZNF354C"
"140",317781,"ENSG00000288503","DDX51"
"141",317781,"ENSG00000185163","DDX51"
"142",322,"ENSG00000166313","APBB1"
"143",339229,"ENSG00000204237","OXLD1"
"144",339451,"ENSG00000187961","KLHL17"
"145",339983,"ENSG00000185818","NAT8L"
"146",340591,"ENSG00000290746",""
"147",3430,"ENSG00000068079","IFI35"
"148",343069,"ENSG00000282175","HNRNPCL1"
"149",343069,"ENSG00000179172","HNRNPCL1"
"150",348327,"ENSG00000183647","ZNF530"
"151",360023,"ENSG00000177888","ZBTB41"
"152",3633,"ENSG00000204084","INPP5B"
"153",375056,"ENSG00000154305","MIA3"
"154",377,"ENSG00000134287","ARF3"
"155",378,"ENSG00000168374","ARF4"
"156",3842,"ENSG00000083312","TNPO1"
"157",3856,"ENSG00000170421","KRT8"
"158",4211,"ENSG00000143995","MEIS1"
"159",440248,"ENSG00000290513","HERC2P9"
"160",440248,"ENSG00000291082","HERC2P9"
"161",440944,"ENSG00000206573","THUMPD3-AS1"
"162",4603,"ENSG00000185697","MYBL1"
"163",4664,"ENSG00000138386","NAB1"
"164",4703,"ENSG00000183091","NEB"
"165",477,"ENSG00000018625","ATP1A2"
"166",4784,"ENSG00000008441","NFIX"
"167",4801,"ENSG00000120837","NFYB"
"168",4809,"ENSG00000100138","SNU13"
"169",4883,"ENSG00000113389","NPR3"
"170",4901,"ENSG00000285493","NRL"
"171",4901,"ENSG00000129535","NRL"
"172",4987,"ENSG00000277044","OPRL1"
"173",4987,"ENSG00000125510","OPRL1"
"174",5000,"ENSG00000115947","ORC4"
"175",5074,"ENSG00000177425","PAWR"
"176",51100,"ENSG00000097033","SH3GLB1"
"177",51108,"ENSG00000284548","METTL9"
"178",51108,"ENSG00000197006","METTL9"
