"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"351",3797,"ENSG00000084731","KIF3C"
"352",22924,"ENSG00000084764","MAPRE3"
"353",790,"ENSG00000084774","CAD"
"354",57531,"ENSG00000085382","HACE1"
"355",22911,"ENSG00000085433","WDR47"
"356",5016,"ENSG00000085465","OVGP1"
"357",29957,"ENSG00000085491","SLC25A24"
"358",29992,"ENSG00000085514","PILRA"
"359",231,"ENSG00000085662","AKR1B1"
"360",8895,"ENSG00000085719","CPNE3"
"361",23259,"ENSG00000085788","DDHD2"
"362",22996,"ENSG00000085831","TTC39A"
"363",2060,"ENSG00000085832","EPS15"
"364",4258,"ENSG00000085871","MGST2"
"365",55230,"ENSG00000085982","USP40"
"366",8438,"ENSG00000085999","RAD54L"
"367",23139,"ENSG00000086015","MAST2"
"368",2683,"ENSG00000086062","B4GALT1"
"369",51510,"ENSG00000086065","CHMP5"
"370",27102,"ENSG00000086232","EIF2AK1"
"371",22929,"ENSG00000086475","SEPHS1"
"372",56605,"ENSG00000086619","ERO1B"
"373",7462,"ENSG00000086730","LAT2"
"374",7205,"ENSG00000087077","TRIP6"
"375",51593,"ENSG00000087087","SRRT"
"376",9509,"ENSG00000087116","ADAMTS2"
"377",51720,"ENSG00000087206","UIMC1"
"378",118,"ENSG00000087274","ADD1"
"379",64395,"ENSG00000087338","GMCL1"
"380",29929,"ENSG00000088035","ALG6"
"381",8886,"ENSG00000088205","DDX18"
"382",55616,"ENSG00000088280","ASAP3"
"383",1795,"ENSG00000088538","DOCK3"
"384",51161,"ENSG00000088543","C3orf18"
"385",6548,"ENSG00000090020","SLC9A1"
"386",51650,"ENSG00000090263","MRPS33"
"387",4708,"ENSG00000090266","NDUFB2"
"388",10726,"ENSG00000090273","NUDC"
"389",10296,"ENSG00000090316","MAEA"
"390",79594,"ENSG00000090432","MUL1"
"391",55214,"ENSG00000090530","P3H2"
"392",8761,"ENSG00000090621","PABPC4"
"393",113878,"ENSG00000091073","DTX2"
"394",3912,"ENSG00000091136","LAMB1"
"395",11069,"ENSG00000091428","RAPGEF4"
"396",23231,"ENSG00000091490","SEL1L3"
"397",151887,"ENSG00000091986","CCDC80"
"398",6913,"ENSG00000092607","TBX15"
"399",26523,"ENSG00000092847","AGO1"
"400",63967,"ENSG00000092853","CLSPN"
