"","ensembl_gene_id","gene_version","gene_name","qval"
"483","ENSG00000156876","9","SASS6",0.00507513
"484","ENSG00000122477","12","LRRC39",0.000116971
"485","ENSG00000137992","14","DBT",0.00039641
"486","ENSG00000137996","12","RTCA",1.0478e-09
"487","ENSG00000079335","18","CDC14A",0.00477422
"488","ENSG00000181656","6","GPR88",0.00683371
"489","ENSG00000162692","10","VCAM1",0.000478868
"490","ENSG00000225938","1","RP4-575N6.4",2.115e-07
"491","ENSG00000260940","1","RP4-575N6.5",0.0190045
"492","ENSG00000185946","15","RNPC3",0.00143639
"493","ENSG00000243480","7","AMY2A",0.0160966
"494","ENSG00000198890","7","PRMT6",1.72478e-12
"495","ENSG00000134215","15","VAV3",4.98811e-10
"496","ENSG00000085491","15","SLC25A24",7.74852e-10
"497","ENSG00000121940","15","CLCC1",0.000417828
"498","ENSG00000085433","15","WDR47",0.000394834
"499","ENSG00000273382","1","RP5-1065J22.8",0.0122631
"500","ENSG00000215717","5","TMEM167B",0.0361427
"501","ENSG00000143126","7","CELSR2",6.50966e-05
"502","ENSG00000134222","16","PSRC1",0.00034776
"503","ENSG00000221986","6","MYBPHL",0.0300329
"504","ENSG00000143028","8","SYPL2",6.21474e-22
