"","probe","entrez","gene","pval.exp","odds.exp","pval.anthr","odds.exp.1","pval.expAnth","odds.expAnth","adjpval"
"141","214396_s_at",8932,"MBD2",0.229800338071371,0.938405441294958,0.00134461713470935,0.293424618252778,0.147377144070104,0.495343462254777,0.521430809222652
"142","214239_x_at",7703,"PCGF2",0.336835208964464,1.15284040510962,0.00114208083869638,0.27977563522762,0.150548989058218,0.469984864171775,0.525767001572172
"143","214463_x_at",8363,"HIST1H4J",0.352091405198559,1.07995452372802,0.00112823630136438,0.308721984570608,0.150865710637639,0.525075238780748,0.525767001572172
"144","202474_s_at",3054,"HCFC1",0.074601482519642,0.809928579491289,0.00114927678625654,0.30130999961781,0.151909581036791,0.498887301697586,0.526771034739519
"145","209704_at",22823,"MTF2",0.142300851110937,0.723418537195316,0.00113796867018134,0.339273089910571,0.153270400810829,1.91242242039085,0.528858759233405
"146","214885_at",84148,"KAT8",0.298351983842823,0.96057600358452,0.0011745312575806,0.250182962834631,0.154936728756903,0.398252911434526,0.529367156586085
"147","40640_at",29781,"NCAPH2",0.365507613339708,1.08831454502867,0.00106756263104235,0.315692584767957,0.156252187562999,0.536330992012305,0.531257437714197
"148","214616_at",8353,"HIST1H3E",0.191548670865871,1.29950850588737,0.00129863387498141,0.292784767177059,0.158181639496473,0.511036264111864,0.534620483405347
"149","221862_at",54531,"MIER2",0.342567298992006,1.0032966247659,0.00106597586169677,0.296404987326868,0.165057185569318,0.525300802408377,0.547832658770546
"150","207728_at",55729,"ATF7IP",0.294871439987742,0.968724942552422,0.00138937307646869,0.310625549939577,0.168276486055793,0.518323508202573,0.555870667207999
"151","210559_s_at",983,"CDK1",0.0629619848754759,1.46719163899392,0.00132441611007894,0.311333289033037,0.171800012775448,1.94768057433585,0.563729664553596
"152","211790_s_at",8085,"KMT2D",0.0700733845173518,0.802730988855765,0.00134334992778296,0.297739492419033,0.172273197345647,0.527789227858912,0.563729664553596
"153","220139_at",29947,"DNMT3L",0.390708338609801,1.04875596562566,0.00116917928274141,0.314638592388632,0.174160128870392,0.532605770885051,0.567241167395623
"154","207226_at",8341,"HIST1H2BN",0.303859945655118,0.96781663119017,0.00128094038523807,0.297185083265569,0.175682728625536,0.535649365896568,0.569538892334877
"155","221820_s_at",84148,"KAT8",0.376927211608807,1.13871184698858,0.00130813677873665,0.293228343084222,0.180415473117992,0.484184307372107,0.57960200426816
"156","218173_s_at",54904,"WHSC1L1",0.271610259970532,1.26469014933086,0.00116465012133127,0.25719737039717,0.180449978373301,0.505611854299411,0.57960200426816
"157","207700_s_at",8202,"NCOA3",0.266057297165444,1.26230864778971,0.00107384446873615,0.334830471283823,0.185091181085241,0.543674098791755,0.584160936073063
"158","202182_at",2648,"KAT2A",0.416164913143481,1.06913448798991,0.00137298278942155,0.295849192504867,0.185553458924692,0.506583591093968,0.584160936073063
"159","206542_s_at",6595,"SMARCA2",0.31912134568379,0.814193285037911,0.00116542936489672,0.311280723375259,0.185699827254229,2.01686255533771,0.584160936073063
"160","201419_at",8314,"BAP1",0.340918452164374,1.1823809328927,0.00117764446483637,0.318290279215538,0.187670157331604,0.529314196774674,0.584160936073063
"161","204946_s_at",7156,"TOP3A",0.423642494990545,1.06650907641753,0.00124612139241931,0.293345955072045,0.19039883894309,0.519250606085119,0.587203498864309
"162","45526_g_at",79903,"NAA60",0.419575058792801,1.03091454207816,0.00112394689891493,0.312730533149564,0.192910685520984,0.543001979312101,0.592329285498352
"163","203138_at",8520,"HAT1",0.40121657933956,0.995188789957173,0.00117494093685688,0.292009314328614,0.196721937148755,1.88809856271573,0.594807863070086
"164","217707_x_at",6595,"SMARCA2",0.366680467453234,0.835512932901448,0.00109512232752296,0.318785456941885,0.197541320854056,1.97071073124715,0.594807863070086
"165","203214_x_at",983,"CDK1",0.117686022664265,1.35043535241685,0.00127949106817571,0.314736926230096,0.198981248680284,1.80388572807301,0.594807863070086
"166","203845_at",8850,"KAT2B",0.266690163575123,1.0866298997506,0.00114671917701648,0.309863864470311,0.199480629092974,1.86280960201602,0.594807863070086
"167","AFFX-HSAC07/X00351_5_at",60,"ACTB",0.409597756496295,0.994789734251535,0.00126637743221691,0.278293411892061,0.20138738204771,1.97067537852109,0.594807863070086
"168","203204_s_at",9682,"KDM4A",0.0481174171240422,0.73414468809326,0.00157899298332642,0.273013381961292,0.201726893541725,0.434358407321022,0.594807863070086
"169","212612_at",23186,"RCOR1",0.430162218006398,0.958985361586036,0.00119035199472306,0.315888947609805,0.202251741101306,1.73855801841028,0.594807863070086
"170","215781_s_at",8940,"TOP3B",0.333165336258203,0.948464331044661,0.00132270586793304,0.314768871378773,0.205087815244123,0.52607983783037,0.596237581065964
"171","213826_s_at",3020,"H3F3A",0.204550737696272,0.766804906135038,0.00136181541293023,0.343765884262274,0.206013660841247,1.71597568245518,0.596237581065964
"172","206544_x_at",6595,"SMARCA2",0.389875581343072,0.850611210584893,0.00122792826158558,0.329603210704868,0.206159622721517,1.83499301790958,0.596237581065964
"173","216684_s_at",6760,"SS18",0.429456908213623,0.875731787015158,0.00130253235303202,0.366112438014747,0.210942622484739,1.74303307450549,0.605049415110548
"174","208576_s_at",8358,"HIST1H3B",0.420144192348155,0.992382797465725,0.00129489267841221,0.395529580492794,0.215139945637146,1.72411139468591,0.613612031290971
"175","215631_s_at",25855,"BRMS1",0.446872211514707,1.10407934231377,0.00126637424094111,0.291039853818164,0.21692904301976,0.527628248346323,0.613612031290971
"176","201833_at",3066,"HDAC2",0.466035756667545,0.919475085665508,0.00128863198865625,0.34947724788718,0.21833766560471,1.83402428323714,0.613612031290971
"177","200853_at",3015,"H2AFZ",0.0874045027867791,1.36137382166581,0.0013309673775076,0.306639861990413,0.220780695842906,1.91096135047168,0.613612031290971
"178","208806_at",1107,"CHD3",0.175564997089539,0.850463685327082,0.00131715361532325,0.309641491711248,0.221391432712496,0.537541409965583,0.613612031290971
"179","200608_s_at",5885,"RAD21",0.421204393506711,1.01515006009782,0.00127726138005435,0.341230550360658,0.222057655609984,1.75886476098938,0.613612031290971
